"","V1","V2"
"1","9901","9902"
"2","9901","9903"
"3","9901","9904"
"4","9901","9905"
"5","9901","9906"
"6","9901","9907"
"7","9901","9908"
"8","9901","9909"
"9","9901","9910"
"10","9901","9911"
"11","9901","9912"
"12","9901","9913"
"13","9901","9914"
"14","9901","9915"
"15","9901","9920"
"16","9901","9921"
"17","9901","9929"
"18","9901","9932"
"19","9901","9933"
"20","9901","9936"
"21","9901","9939"
"22","9901","9940"
"23","9901","9941"
"24","9901","9943"
"25","9902","9903"
"26","9902","9904"
"27","9902","9905"
"28","9902","9906"
"29","9902","9907"
"30","9902","9908"
"31","9902","9909"
"32","9902","9910"
"33","9902","9911"
"34","9902","9912"
"35","9902","9913"
"36","9902","9914"
"37","9902","9915"
"38","9902","9920"
"39","9902","9921"
"40","9902","9923"
"41","9902","9929"
"42","9902","9931"
"43","9902","9932"
"44","9902","9933"
"45","9902","9936"
"46","9902","9938"
"47","9902","9939"
"48","9902","9940"
"49","9902","9942"
"50","9902","9943"
"51","9903","9904"
"52","9903","9905"
"53","9903","9906"
"54","9903","9907"
"55","9903","9908"
"56","9903","9909"
"57","9903","9910"
"58","9903","9911"
"59","9903","9912"
"60","9903","9913"
"61","9903","9914"
"62","9903","9915"
"63","9903","9920"
"64","9903","9921"
"65","9903","9923"
"66","9903","9929"
"67","9903","9931"
"68","9903","9932"
"69","9903","9933"
"70","9903","9936"
"71","9903","9938"
"72","9903","9939"
"73","9903","9940"
"74","9903","9942"
"75","9903","9943"
"76","9904","9905"
"77","9904","9906"
"78","9904","9907"
"79","9904","9908"
"80","9904","9909"
"81","9904","9910"
"82","9904","9911"
"83","9904","9912"
"84","9904","9913"
"85","9904","9914"
"86","9904","9915"
"87","9904","9921"
"88","9904","9929"
"89","9905","9906"
"90","9905","9907"
"91","9905","9908"
"92","9905","9909"
"93","9905","9910"
"94","9905","9911"
"95","9905","9912"
"96","9905","9913"
"97","9905","9914"
"98","9905","9915"
"99","9905","9920"
"100","9905","9921"
"101","9905","9929"
"102","9906","9907"
"103","9906","9908"
"104","9906","9909"
"105","9906","9910"
"106","9906","9911"
"107","9906","9912"
"108","9906","9913"
"109","9906","9914"
"110","9906","9915"
"111","9906","9920"
"112","9906","9921"
"113","9906","9929"
"114","9907","9908"
"115","9907","9909"
"116","9907","9910"
"117","9907","9911"
"118","9907","9912"
"119","9907","9913"
"120","9907","9914"
"121","9907","9915"
"122","9907","9920"
"123","9907","9921"
"124","9907","9929"
"125","9908","9909"
"126","9908","9910"
"127","9908","9911"
"128","9908","9912"
"129","9908","9913"
"130","9908","9914"
"131","9908","9915"
"132","9908","9921"
"133","9908","9929"
"134","9909","9910"
"135","9909","9911"
"136","9909","9912"
"137","9909","9913"
"138","9909","9914"
"139","9909","9915"
"140","9909","9920"
"141","9909","9921"
"142","9909","9924"
"143","9909","9929"
"144","9909","9933"
"145","9909","9940"
"146","9909","9941"
"147","9909","9943"
"148","9910","9911"
"149","9910","9912"
"150","9910","9913"
"151","9910","9914"
"152","9910","9916"
"153","9910","9920"
"154","9910","9921"
"155","9910","9923"
"156","9910","9928"
"157","9910","9929"
"158","9910","9931"
"159","9910","9933"
"160","9910","9937"
"161","9910","9942"
"162","9910","9945"
"163","9911","9912"
"164","9911","9913"
"165","9911","9914"
"166","9911","9915"
"167","9911","9917"
"168","9911","9920"
"169","9911","9921"
"170","9911","9922"
"171","9911","9929"
"172","9911","9933"
"173","9911","9936"
"174","9911","9940"
"175","9911","9941"
"176","9911","9943"
"177","9912","9913"
"178","9912","9914"
"179","9912","9915"
"180","9912","9917"
"181","9912","9921"
"182","9912","9922"
"183","9912","9933"
"184","9913","9914"
"185","9913","9915"
"186","9913","9921"
"187","9913","9929"
"188","9913","9933"
"189","9913","9941"
"190","9913","9943"
"191","9914","9915"
"192","9914","9921"
"193","9914","9929"
"194","9914","9933"
"195","9914","9941"
"196","9914","9943"
"197","9915","9921"
"198","9915","9933"
"199","9916","9937"
"200","9916","9945"
"201","9917","9922"
"202","9918","9921"
"203","9920","9921"
"204","9920","9933"
"205","9921","9925"
"206","9921","9927"
"207","9921","9929"
"208","9921","9933"
"209","9921","9936"
"210","9921","9940"
"211","9921","9941"
"212","9921","9943"
"213","9921","9944"
"214","9921","9945"
"215","9929","9933"
"216","9930","9934"
"217","9930","9935"
"218","9933","9940"
"219","9933","9941"
"220","9933","9943"
"221","9933","9944"
"222","9934","9935"
"223","9936","9940"
"224","9936","9941"
"225","9936","9943"
"226","9936","9944"
"227","9937","9941"
"228","9937","9942"
"229","9937","9945"
"230","9938","9942"
"231","9938","9945"
"232","9940","9941"
"233","9940","9943"
"234","9940","9944"
"235","9941","9943"
"236","9941","9944"
"237","9942","9945"
"238","9943","9944"
